player_id,horizon_xpts,mean_reliability,gws,web_name,team_id,team_short
199,38.49907953041715,0.6866164384374556,4,Eze,7,CRY
44,35.88420830686474,0.911459421501816,4,Konsa,2,AVL
54,31.472585388903383,0.9615377145917442,4,Rogers,2,AVL
47,30.144849909372738,0.9205892320537958,4,Martinez,2,AVL
328,29.240917232336066,0.9951255565442128,4,M.Salah,12,LIV
211,28.576503425059734,0.9895835637481527,4,Muñoz,7,CRY
350,28.191759341711986,0.9974349826895188,4,Gvardiol,13,MCI
201,26.04929756835749,1.0,4,Henderson,7,CRY
58,25.465852577202615,0.7456159004381165,4,Watkins,2,AVL
361,25.40647269905844,0.8803310537940839,4,Rúben,13,MCI
415,25.27322750986181,0.9586523475829832,4,Schär,15,NEW
252,25.035834022864577,0.8526180702222456,4,Raúl,9,FUL
585,25.02508002488635,0.8227528671566708,4,I.Sarr,7,CRY
417,24.59187432995991,0.9777198062797133,4,Tonali,15,NEW
395,24.51108110937014,0.998489413624559,4,Burn,15,NEW
755,21.724562123075277,0.7906430584276767,4,Marmoush,13,MCI
650,20.951256205307185,0.982459234258489,4,Lacroix,7,CRY
148,20.799716428198234,0.7975526945210811,4,Welbeck,5,BHA
336,20.786716408067374,0.6926040238181083,4,Szoboszlai,12,LIV
342,20.784447408810788,0.6914119170809956,4,Bernardo,13,MCI
413,20.601085650918172,0.8810811329683624,4,Pope,15,NEW
409,20.256361894909862,0.9743738946734468,4,Livramento,15,NEW
248,20.06004226642714,1.0,4,Leno,9,FUL
402,19.981513096312284,0.7749836650789069,4,J.Murphy,15,NEW
163,19.816550306473612,0.9492123455081853,4,Cucurella,6,CHE
345,19.597384161232675,0.7106496418521107,4,De Bruyne,13,MCI
433,19.422215401850696,0.9554990909672325,4,Gibbs-White,16,NFO
110,19.142738956144893,0.996923962372592,4,Wissa,4,BRE
32,19.126975190781696,0.721235907726403,4,Cash,2,AVL
394,18.78714210453329,0.9634586435325054,4,Bruno G.,15,NEW
247,18.754319112626124,0.8384035400251046,4,Iwobi,9,FUL
392,18.47760179353666,0.8023902484683371,4,Barnes,15,NEW
146,18.403277997460968,0.99918886816631,4,Verbruggen,5,BHA
23,17.656851749344526,0.9178652921709697,4,Trossard,1,ARS
42,17.489315102531666,0.7327047687828471,4,Kamara,2,AVL
99,17.382196781326062,0.999974902223722,4,Mbeumo,4,BRE
78,17.04256019047212,0.8965395017403643,4,Semenyo,3,BOU
115,16.322655680121088,0.9006585606212133,4,Baleba,5,BHA
327,16.130110823054302,0.5456301156565171,4,Luis Díaz,12,LIV
168,15.896914729157704,0.9798648692324857,4,Enzo,6,CHE
310,15.598813240555778,0.8114193444931275,4,A.Becker,12,LIV
600,15.443391984759566,0.6490238775161064,4,Ayari,5,BHA
514,15.29404985022075,0.9101892289848483,4,Bowen,19,WHU
13,15.148766118540777,0.8805074771462108,4,Ødegaard,1,ARS
135,15.120638273328309,0.7328968024233143,4,Minteh,5,BHA
106,14.707233149387346,0.8475620214755686,4,Schade,4,BRE
533,14.159090458279312,0.939749639005257,4,Aït-Nouri,20,WOL
580,14.098525422660448,0.9948841359461499,4,Huijsen,3,BOU
91,13.709148479825428,0.9763886190563515,4,Flekken,4,BRE
432,13.660296586843065,0.8592778431718598,4,Elanga,16,NFO
354,13.576033975701137,0.6700914677891254,4,Kovačić,13,MCI
339,13.561789230701525,0.6400000000000001,4,Virgil,12,LIV
152,13.548341228823618,0.977061199881096,4,Arrizabalaga,3,BOU
617,13.268678847496327,0.8052010586595932,4,Evanilson,3,BOU
185,13.181987392680531,0.8682937518238312,4,Sánchez,6,CHE
70,12.986378565962694,0.976656754284269,4,Kerkez,3,BOU
560,12.915401491272085,0.9235267923263059,4,Neto,6,CHE
372,12.847138906045227,0.6607087285996786,4,Garnacho,14,MUN
321,12.83054573785443,0.581133559067197,4,Gakpo,12,LIV
15,12.779962456589498,1.0,4,Raya,1,ARS
625,12.738382453726,0.582780566230282,4,Gündogan,13,MCI
573,12.723760197679459,0.9993510682049752,4,Milenković,16,NFO
210,12.659453453617722,0.554572504076606,4,Mitchell,7,CRY
16,12.373567151773065,0.6498458646027513,4,Rice,1,ARS
347,12.193212540350032,0.5495078689334747,4,Ederson M.,13,MCI
122,12.125184430294393,0.9028244091941694,4,Estupiñan,5,BHA
182,12.0991464557967,0.8947089769918376,4,Palmer,6,CHE
401,12.00270470820766,0.5450947979572388,4,Isak,15,NEW
88,11.986331293871435,1.0,4,Collins,4,BRE
720,11.966300422345348,0.9197805652360118,4,Agbadou,20,WOL
323,11.463669657286552,0.7350125645483371,4,Gravenberch,12,LIV
207,11.361649748615909,0.5197720747009487,4,Mateta,7,CRY
579,11.045851701551927,0.5043196227107286,4,Sessegnon,9,FUL
157,10.893166268814763,0.9933976922537986,4,Caicedo,6,CHE
366,10.86753778439645,0.6807209537626173,4,B.Fernandes,14,MUN
356,10.809219209737515,0.4852327148100351,4,Matheus N.,13,MCI
126,10.759511928663787,0.5202658973343128,4,Hinshelwood,5,BHA
9,10.63968869268494,0.8180050160529128,4,Martinelli,1,ARS
326,10.639474920852392,0.7225449801907096,4,Konaté,12,LIV
45,10.534259860971959,0.4472667532561171,4,Maatsen,2,AVL
200,10.487191311471467,0.5531421472403264,4,Guéhi,7,CRY
447,10.481333698406992,0.7980304065566963,4,Wood,16,NFO
162,10.45413209193353,0.8823854375074432,4,Colwill,6,CHE
762,10.389374177126568,0.6451153039169214,4,M.Asensio,2,AVL
194,10.366423779379799,0.6249780100946734,4,C.Richards,7,CRY
