gw,action,buy_id,buy_name,buy_team,buy_pos,buy_price,sell_id,sell_name,sell_team,sell_pos,sell_price,bank_after,base_xi_xpts,new_xi_xpts,gain
31,BUY Semenyo / SELL M.Salah,78,Semenyo,BOU,MID,5.7,328,M.Salah,LIV,MID,13.6,7.8999999999999995,87.19895516280478,88.37342549819704,1.1744703353922574
32,BUY Cucurella / SELL Gvardiol,163,Cucurella,CHE,DEF,5.4,350,Gvardiol,MCI,DEF,6.5,8.999999999999998,86.56952452707509,94.24852067652678,7.678996149451692
33,BUY Gvardiol / SELL Cucurella,350,Gvardiol,MCI,DEF,6.5,163,Cucurella,CHE,DEF,5.4,7.899999999999999,86.8332588115067,96.723299864519,9.890041053012311
34,BUY Iwobi / SELL Semenyo,247,Iwobi,FUL,MID,5.4,78,Semenyo,BOU,MID,5.7,8.199999999999998,74.42886465993986,80.2162507860447,5.787386126104835
